               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,             0.03136,            0.036251,           0.0047199,             0.90945,             0.89735,             0.94349,             0.75913,            0.025149,            0.018857,           0.0020464,            0.001783,            0.001783,            0.001783
                  85,            0.028022,            0.032603,           0.0049166,             0.92414,             0.90751,             0.95612,             0.75297,            0.025162,            0.018873,           0.0020167,            0.001684,            0.001684,            0.001684
                  86,            0.032067,            0.037505,           0.0051409,             0.92948,             0.90329,             0.95694,             0.75468,            0.025224,            0.018892,           0.0019879,            0.001585,            0.001585,            0.001585
                  87,            0.029234,            0.034043,           0.0046728,             0.92983,             0.90798,             0.96028,              0.7607,            0.025091,            0.018846,           0.0019748,            0.001486,            0.001486,            0.001486
                  88,            0.028965,             0.03311,           0.0042542,             0.91229,              0.9091,             0.95628,             0.75718,            0.025267,            0.018866,           0.0019627,            0.001387,            0.001387,            0.001387
                  89,            0.029674,            0.034345,            0.004856,             0.90242,             0.91961,             0.95488,             0.76203,            0.024809,            0.018674,            0.001954,            0.001288,            0.001288,            0.001288
                  90,            0.029679,             0.03539,           0.0052524,             0.89286,             0.91916,             0.95468,             0.76275,            0.024532,            0.018509,           0.0019475,            0.001189,            0.001189,            0.001189
                  91,            0.030144,            0.036885,           0.0045292,             0.89071,             0.92002,             0.95444,             0.76356,            0.024367,            0.018403,           0.0019417,             0.00109,             0.00109,             0.00109
                  92,             0.02893,              0.0358,           0.0044343,             0.89895,             0.91803,              0.9544,             0.76311,            0.024232,            0.018303,           0.0019243,            0.000991,            0.000991,            0.000991
                  93,            0.029633,             0.03902,            0.004138,             0.93396,             0.88395,             0.94716,             0.77081,            0.024185,            0.018254,           0.0019156,            0.000892,            0.000892,            0.000892
                  94,            0.029836,            0.037316,           0.0051805,             0.88885,             0.92086,             0.95382,             0.76579,            0.024039,            0.018184,           0.0019064,            0.000793,            0.000793,            0.000793
                  95,            0.027516,            0.034133,           0.0042187,             0.89036,             0.92381,             0.95455,             0.76482,            0.023818,             0.01811,           0.0018958,            0.000694,            0.000694,            0.000694
                  96,            0.028389,            0.034469,           0.0043084,             0.88358,             0.92848,             0.95409,             0.76652,            0.023778,            0.018052,           0.0018913,            0.000595,            0.000595,            0.000595
                  97,            0.030161,            0.038349,           0.0047955,             0.93371,             0.89292,             0.95685,             0.76803,            0.023858,            0.018016,           0.0018889,            0.000496,            0.000496,            0.000496
                  98,            0.027834,            0.036124,           0.0048025,             0.88997,             0.93239,             0.95588,             0.77247,            0.023703,            0.017939,           0.0018808,            0.000397,            0.000397,            0.000397
                  99,            0.030389,            0.038384,            0.004475,             0.93725,             0.89434,             0.95637,             0.77385,            0.023575,            0.017885,           0.0018756,            0.000298,            0.000298,            0.000298
